"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
3,711168,"; Cijk_Ailk_Bljk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT64x96x32_MI16x16x1_SN_LDSB0_AFC1_AG0_AGGSUA0_AGNTAB0_AFEM1_AFEM1_ASEM1_BL1_BS1_CD1_1_CLR1_CLS0_CADS0_DTLA0_DTLB0_DTLM0_DTVA0_DTVB0_DTVMXSA0_DTVMXSB0_DTVSM0_DPLB0_EPS0_ELFLR0_EMLLn1_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_HPLR0_ISA1100_ICIW0_IU1_K1_LDSSI0_LDSTI0_LBSPPA2048_LBSPPB128_LBSPPMXSA0_LBSPPMXSB0_LBSPPM0_LPA16_LPB16_LPMXSA0_LPMXSB0_LPM0_LRVW16_LWPMn1_MIAV1_MIWT2_3_MXLIBL_MXSFNS_MO40_MGRIPM1_NTn1_NTA0_NTB0_NTC0_NTD0_NTE0_NTMXSA0_NTMXSB0_NTM0_NTWS0_NVn1_NVA0_NVB0_NVC0_NVD0_NVE0_NVMXSA0_NVMXSB0_NVM0_NVWS0_NEPBS0_NLCA1_NLCB1_ONLL1_PAP0_PGL0_PGR2_PLR1_PKA0_SGROB0_SIA3_SS1_SPO0_SRVW0_SSO0_SVW1_SK0_SKFTR0_SKFDPO0_SKWS0_SKXCCM0_SNLL0_SIP1_SGRO0_TDMI0_TDMIM0_TDMLWS0_TDMPLB0_TDMS0_TIN0_THn1_THA0_THB0_THC0_THD0_THE0_THMXSA0_THMXSB0_THM0_THWS0_TLDS1_TLDSM1_ULSGRO0_USL1_USLMX0_UDFMAC0_UIOFGRO0_UPLRP0_USFGROn1_USI0_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG32_4_1_WGMXCC1",0,0,0,0,""
3,711168,"s_load_b32 s20, s[0:1], null",10,10,0,7222,""
3,711176,"s_load_b32 s22, s[0:1], 0x4",10,10,0,0,""
3,711184,"s_load_b32 s11, s[0:1], 0x8",10,10,0,0,""
3,711192,"s_load_b32 s23, s[0:1], 0xc",10,10,0,0,""
3,711200,"s_waitcnt lgkmcnt(0)",10,23250,23240,0,""
3,711204,"s_lshr_b32 s21, s20, 30",10,22,12,0,""
3,711208,"s_and_b32 s20, 0x3fffffff, s20",10,16,6,0,""
3,711216,"s_cmp_eq_u32 s21, 3",10,10,0,3,""
3,711220,"s_cbranch_scc1 2",10,10,0,82,""
