"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,4096,"; gemm_f16_f32_mt64x96x32_gfx11_pgr2",0,0,0,0,""
2,4096,"v_mov_b32_e32 v191, v0",10,10,0,2611,""
2,4100,"s_load_b64 s[4:5], s[0:1], 0x18",10,50,40,0,""
2,4108,"s_mov_b32 s3, 0x400",10,11,1,0,""
2,4116,"v_dual_mov_b32 v0, 0 :: v_dual_mov_b32 v1, 1",10,11,1,0,""
2,4124,"s_lshr_b32 s3, s2, 4",10,10,0,0,""
2,4128,"s_lshl_b32 s6, s3, 4",10,10,0,0,""
2,4132,"s_sub_u32 s2, s2, s6",10,13,3,0,""
2,4136,"s_lshr_b32 s6, s3, 3",10,10,0,0,""
2,4140,"s_lshl_b32 s7, s6, 3",10,10,0,0,""
2,4144,"s_sub_u32 s3, s3, s7",10,10,0,0,""
2,4148,"s_lshl_b32 s3, s3, 4",10,34,24,0,""
2,4152,"s_add_u32 s2, s3, s2",10,13,3,0,""
2,4156,"s_lshr_b32 s3, s2, 3",10,16,6,1,""
2,4160,"s_lshr_b32 s8, s2, 1",10,17,7,0,""
2,4164,"s_lshl_b32 s9, s3, 3",10,10,0,0,""
2,4168,"s_load_b128 s[12:15], s[0:1], null",10,10,0,121,""
2,4176,"s_lshl_b32 s0, s8, 1",10,10,0,0,""
2,4180,"s_sub_u32 s1, s2, s9",10,13,3,0,""
2,4184,"s_sub_u32 s0, s2, s0",10,13,3,0,""
2,4188,"s_mov_b32 s2, 1",10,10,0,0,""
2,4192,"s_waitcnt lgkmcnt(0)",10,24680,24670,0,""
2,4196,"s_mov_b32 s10, s12",10,20,10,0,""
2,4200,"s_mov_b32 s12, s14",10,13,3,0,""
2,4204,"s_cmp_lt_u32 s6, s2",10,10,0,5,""
2,4208,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
2,4212,"s_cselect_b32 s2, s3, s8",10,16,6,10,""
2,4216,"s_cselect_b32 s0, s1, s0",10,10,0,0,""
2,4220,"s_add_u32 s0, s0, s7",10,10,0,0,""
2,4224,"s_delay_alu instid0(VALU_DEP_2)",0,0,0,0,""
2,4228,"v_lshrrev_b32_e32 v2, 10, v191",10,10,0,3,""
2,4232,"s_delay_alu instid0(VALU_DEP_1)",0,0,0,0,""
2,4236,"v_and_b32_e32 v2, 0x3ff, v2",10,13,3,40,""
2,4244,"v_and_b32_e32 v3, 0x3ff, v191",10,10,0,8,""
2,4252,"s_delay_alu instid0(VALU_DEP_1) | instid1(VALU_DEP_2)",0,0,0,0,""
2,4256,"v_lshl_add_u32 v3, v2, 5, v3",10,26,16,40,""
2,4264,"s_mov_b32 s1, 0xffff",10,12,2,0,""
2,4272,"s_mov_b32 s3, 2",10,10,0,0,""
2,4276,"s_and_b32 s11, s13, s1",10,10,0,0,""
2,4280,"s_and_b32 s13, s15, s1",10,10,0,0,""
2,4284,"v_dual_mov_b32 v4, 7 :: v_dual_and_b32 v9, v2, v1",10,10,0,15,""
2,4292,"s_delay_alu instid0(VALU_DEP_1) | instid1(VALU_DEP_2)",0,0,0,0,""
2,4296,"v_and_b32_e32 v1, v3, v4",10,14,4,40,""
2,4300,"v_mov_b32_e32 v5, 3",10,26,16,0,""
2,4304,"v_lshrrev_b32_e32 v6, lit(0x3), v3",10,10,0,0,""
2,4312,"s_delay_alu instid0(VALU_DEP_2)",0,0,0,0,""
2,4316,"v_and_b32_e32 v7, v3, v5",10,22,12,30,""
2,4320,"v_lshrrev_b32_e32 v8, lit(0x2), v3",10,10,0,0,""
2,4328,"s_delay_alu instid0(VALU_DEP_3)",0,0,0,0,""
2,4332,"v_lshl_add_u32 v10, v6, 7, v1",10,15,5,9,""
2,4340,"s_delay_alu instid0(VALU_DEP_2) | instid1(VALU_DEP_3)",0,0,0,0,""
2,4344,"v_lshl_add_u32 v11, v8, 7, v7",10,16,6,21,""
2,4352,"s_lshl_b32 s1, s2, 7",10,10,0,0,""
2,4356,"s_mov_b32 s6, 0x30000",10,10,0,0,""
2,4364,"s_delay_alu instid0(VALU_DEP_2)",0,0,0,0,""
2,4368,"v_lshlrev_b32_e32 v48, 4, v10",10,18,8,0,""
2,4372,"v_mov_b32_e32 v10, 0x80",10,10,0,7,""
2,4380,"s_delay_alu instid0(VALU_DEP_1)",0,0,0,0,""
2,4384,"v_add_nc_u32_e32 v10, v3, v10",10,10,0,47,""
2,4388,"s_delay_alu instid0(VALU_DEP_1)",0,0,0,0,""
2,4392,"v_and_b32_e32 v4, v10, v4",10,10,0,40,""
2,4396,"v_lshrrev_b32_e32 v12, lit(0x3), v10",10,10,0,0,""
2,4404,"s_delay_alu instid0(VALU_DEP_1) | instid1(VALU_DEP_2)",0,0,0,0,""
2,4408,"v_lshl_add_u32 v4, v12, 7, v4",10,10,0,40,""
2,4416,"v_lshlrev_b32_e32 v50, 4, v11",10,10,0,0,""
2,4420,"s_mul_i32 s6, s0, s6",10,10,0,0,""
2,4424,"v_and_b32_e32 v11, v10, v5",10,16,6,0,""
2,4428,"v_lshrrev_b32_e32 v10, lit(0x2), v10",10,10,0,0,""
2,4436,"s_delay_alu instid0(VALU_DEP_1) | instid1(VALU_DEP_2)",0,0,0,0,""
2,4440,"v_lshl_add_u32 v10, v10, 7, v11",10,10,0,40,""
2,4448,"v_lshlrev_b32_e32 v49, 4, v4",10,10,0,0,""
2,4452,"v_lshl_add_u32 v3, s3, 7, v3",10,10,0,0,""
2,4460,"s_delay_alu instid0(VALU_DEP_1)",0,0,0,0,""
2,4464,"v_and_b32_e32 v4, v3, v5",10,10,0,40,""
2,4468,"v_lshrrev_b32_e32 v3, lit(0x2), v3",10,10,0,0,""
2,4476,"s_delay_alu instid0(VALU_DEP_1) | instid1(VALU_DEP_2)",0,0,0,0,""
2,4480,"v_lshl_add_u32 v3, v3, 7, v4",10,10,0,1218,""
2,4488,"v_lshlrev_b32_e32 v51, 4, v10",10,10,0,0,""
2,4492,"s_delay_alu instid0(VALU_DEP_2)",0,0,0,0,""
2,4496,"v_lshlrev_b32_e32 v52, 4, v3",10,15,5,30,""
2,4500,"v_mad_u32_u24 v3, v8, lit(0x5), v7",10,10,0,0,""
2,4512,"s_mov_b32 s18, 0x200000",10,14,4,0,""
2,4520,"s_mov_b32 s19, 0x31016000",10,10,0,0,""
2,4528,"s_lshl_b32 s3, s2, 7",10,10,0,0,""
2,4532,"s_mov_b32 s20, s12",10,10,0,0,""
2,4536,"s_mov_b32 s21, s13",10,13,3,0,""
2,4540,"s_mov_b32 s22, s18",10,10,0,0,""
2,4544,"s_mov_b32 s23, s19",10,10,0,15,""
2,4548,"s_mov_b32 s16, s10",10,10,0,0,""
2,4552,"s_mov_b32 s17, s11",10,10,0,0,""
2,4556,"buffer_load_b128 v[12:15], v48, s[16:19], s1 offen",10,10,0,89,""
2,4564,"buffer_load_b128 v[16:19], v49, s[16:19], s3 offen",10,10,0,0,""
2,4572,"buffer_load_b128 v[20:23], v50, s[20:23], s6 offen",10,20,10,0,""
