"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,4096,"; gemm_f16_f32_mt64x96x32_gfx11_pgr2",0,0,0,0,""
2,4096,"v_mov_b32_e32 v191, v0",10,10,0,10910,""
2,4100,"s_load_b64 s[4:5], s[0:1], 0x18",10,47,37,0,""
2,4108,"s_mov_b32 s3, 0x400",10,11,1,0,""
2,4116,"v_dual_mov_b32 v0, 0 :: v_dual_mov_b32 v1, 1",10,11,1,0,""
2,4124,"s_lshr_b32 s3, s2, 4",10,10,0,0,""
2,4128,"s_lshl_b32 s6, s3, 4",10,10,0,0,""
2,4132,"s_sub_u32 s2, s2, s6",10,13,3,0,""
2,4136,"s_lshr_b32 s6, s3, 3",10,10,0,0,""
2,4140,"s_lshl_b32 s7, s6, 3",10,10,0,0,""
2,4144,"s_sub_u32 s3, s3, s7",10,10,0,0,""
2,4148,"s_lshl_b32 s3, s3, 4",10,34,24,0,""
2,4152,"s_add_u32 s2, s3, s2",10,13,3,0,""
2,4156,"s_lshr_b32 s3, s2, 3",10,17,7,0,""
2,4160,"s_lshr_b32 s8, s2, 1",10,17,7,0,""
2,4164,"s_lshl_b32 s9, s3, 3",10,10,0,0,""
2,4168,"s_load_b128 s[12:15], s[0:1], null",10,10,0,121,""
2,4176,"s_lshl_b32 s0, s8, 1",10,10,0,0,""
2,4180,"s_sub_u32 s1, s2, s9",10,13,3,0,""
2,4184,"s_sub_u32 s0, s2, s0",10,13,3,0,""
2,4188,"s_mov_b32 s2, 1",10,10,0,0,""
2,4192,"s_waitcnt lgkmcnt(0)",10,23445,23435,0,""
2,4196,"s_mov_b32 s10, s12",10,11,1,0,""
2,4200,"s_mov_b32 s12, s14",10,17,7,0,""
2,4204,"s_cmp_lt_u32 s6, s2",10,10,0,3,""
2,4208,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
2,4212,"s_cselect_b32 s2, s3, s8",10,20,10,10,""
2,4216,"s_cselect_b32 s0, s1, s0",10,10,0,0,""
2,4220,"s_add_u32 s0, s0, s7",10,10,0,0,""
2,4224,"s_delay_alu instid0(VALU_DEP_2)",0,0,0,0,""
2,4228,"v_lshrrev_b32_e32 v2, 10, v191",10,10,0,6,""
